"year";"month";"TN";"TP";"chla";"din";"dip";"prim";"KrIltSv";"IltSv";"IIltSv";"N.load";"P.load";"Q.load";"temp";"gr";"vmp"
"1";1982;1;1.312;0.0887;0.00396;0.415;0.0775;0.0189;0;0;0;236.578;NA;NA;2.23;18;0
"2";1982;2;1.371;0.0737;0.00568;0.486;0.0427;0.0895;0;0;0;219.673;NA;NA;2.12;42.32;0
"3";1982;3;1.5;0.064;0.002;0.865;0.0245;0.164;0;0;2;222.722;NA;NA;3.5;91.96;0
"4";1982;4;1.2;0.045;0.013;0.588;0.0045;0.729;0;0;2;175.406;NA;NA;5.95;152.74;0
"5";1982;5;0.772;0.0862;0.04325;0.072;0.0098;3.473;2;0;2;146.009;NA;NA;12.36;221.35;0
"6";1982;6;0.78;0.195;0.046;0.026;0.1375;2.726;1;0;1;118.31;NA;NA;15.6;233.77;0
"7";1982;7;0.92;0.18;0.0235;0.037;0.098;2.022;1;0;1;107.051;NA;NA;21.35;226.45;0
"8";1982;8;1.05;0.34;0.035;0.229;0.27;2.184;1;0;1;99.633;NA;NA;19.7;176.68;0
"9";1982;9;0.785;0.14;0.02525;0.024;0.0805;2.001;1;0;3;112.208;NA;NA;14.8;111.79;0
"10";1982;10;0.74;0.105;0.018;0.36;0.062;0.6681;0;0;2;147.398;NA;NA;9.95;56.39;0
"11";1982;11;0.987;0.1178;0.00705;0.236;0.1009;0.1177;0;0;0;169.618;NA;NA;7;23.17;0
"12";1982;12;1.15;0.088;0.001;0.625;0.0685;0.0317;0;0;2;200.584;NA;NA;4.3;12.77;0
"13";1983;1;1.5;0.0665;0.00534;0.9;0.045;0.0239;0;0;2;208.136;NA;NA;3.6;18;0
"14";1983;2;1.538;0.0502;0.00767;0.99;0.0164;0.1129;0;0;0;193.263;NA;NA;1.34;42.32;0
"15";1983;3;2.8;0.0455;0.02575;0.989;0.009;0.9815;0;0;4;195.946;NA;NA;2.17;91.96;0
"16";1983;4;1.25;0.0212;0.011;0.852;0.0035;0.8725;0;0;4;154.318;NA;NA;6.92;152.74;0
"17";1983;5;1.073;0.038;0.01975;0.542;0.0018;1.819;0;0;4;128.456;NA;NA;11.22;221.35;0
"18";1983;6;1.05;0.0815;0.071;0.04;0.002;6.628;0;0;2;104.086;NA;NA;14.5;233.77;0
"19";1983;7;0.883;0.2175;0.03025;0.082;0.1252;2.6425;1;0;3;94.181;NA;NA;17.45;226.45;0
"20";1983;8;0.865;0.19;0.017;0.132;0.1295;1.459;1;0;1;87.655;NA;NA;16.7;176.68;0
"21";1983;9;0.765;0.2145;0.04225;0.113;0.1023;3.1995;2;1;1;98.718;NA;NA;15.14;111.79;0
"22";1983;10;0.78;0.0635;0.0185;0.209;0.0275;0.605;0;0;2;129.677;NA;NA;9.3;56.39;0
"23";1983;11;0.94;0.0655;0.0075;0.488;0.0448;0.207;0;0;2;149.226;NA;NA;6.25;23.17;0
"24";1983;12;1.184;0.0652;0.00484;0.633;0.0306;0.0399;0;0;0;176.469;NA;NA;3.34;12.77;0
"25";1984;1;1.561;0.0742;0.003;0.908;0.0851;0.017;0;0;0;304.248;17.18;75.225;1.99;18;0
"26";1984;2;1.85;0.0892;0.01075;1.335;0.0245;0.3385;0;0;4;233.548;13.059;58.98;-0.58;42.32;0
"27";1984;3;1.475;0.0282;0.01067;1.004;0.0183;0.35;0;0;4;160.743;11.187;40.269;0.95;91.96;0
"28";1984;4;0.98;0.0255;0.00167;0.702;0.0055;0.507;0;0;2;131.351;9.342;31.664;10.95;152.74;0
"29";1984;5;1.1;0.047;0.01667;0.358;0.0435;1.252;0;0;4;104.575;9.531;23.651;13.82;221.35;0
"30";1984;6;0.77;0.1062;0.02417;0.046;0.035;2.301;0;0;4;92.905;8.805;22.08;16.1;233.77;0
"31";1984;7;2;0.185;0.01267;0.104;0.101;1.236;3;1;4;77.224;8.287;18.583;17.69;226.45;0
"32";1984;8;1.22;0.23;0.02133;0.157;0.136;1.182;8;0;0;67.572;7.96;17.68;18.75;176.68;0
"33";1984;9;1.235;0.235;0.00867;0.228;0.195;0.817;0;1;3;83.894;8.9;23.196;14.12;111.79;0
"34";1984;10;0.7;0.14;0.014;0.148;0.101;1.689;1;1;0;168.949;12.975;45.925;12.55;56.39;0
"35";1984;11;1.175;0.0986;0.00534;0.516;0.1107;0.1059;0;0;0;168.304;11.902;45.388;6.76;23.17;0
"36";1984;12;1.1;0.078;0.003;0.71;0.065;0.0285;0;0;1;174.038;11.871;42.358;5;12.77;0
"37";1985;1;1.688;0.0937;0.00487;0.946;0.0622;0.0175;0;0;0;107.612;11.097;29.948;1.45;18;0
"38";1985;2;3.1;0.074;0.004;1.31;0.054;0.0827;0;1;1;101.773;12.085;38.786;-0.4;42.32;0
"39";1985;3;1.732;0.0499;0.01477;0.984;0.0089;0.413;0;0;0;96.15;16.66;41.86;2.49;91.96;0
"40";1985;4;1.75;0.0955;0.07683;0.793;0.0045;2.74;0;0;4;99.561;11.808;41.107;5.12;152.74;0
"41";1985;5;1.3;0.073;0.04267;0.226;0.014;2.76;2;1;1;78.101;8.543;23.959;15.38;221.35;0
"42";1985;6;0.95;0.235;0.00667;0.345;0.17;0.853;0;1;1;59.666;7.82;19.066;14.7;233.77;0
"43";1985;7;1.25;0.3;0.02867;0.187;0.1825;0.9935;5;1;4;50.094;7.785;17.122;17.31;226.45;0
"44";1985;8;0.93;0.22;0.02367;0.14;0.088;3.965;3;0;3;60.868;8.002;20.373;16.55;176.68;0
"45";1985;9;0.645;0.13;0.023;0.082;0.07;2.33;0;0;2;69.502;8.429;25.644;14.5;111.79;0
"46";1985;10;0.782;0.076;0.011;0.226;0.0358;0.817;1;1;2;69.489;8.366;24.96;12.43;56.39;0
"47";1985;11;1.27;0.1245;0.00867;0.537;0.081;0.1088;0;0;0;75.903;8.58;29.604;6.21;23.17;0
"48";1985;12;1.3;0.066;0.00441;0.5;0.037;0.0293;0;0;1;135.282;16.824;70.572;2;12.77;0
"49";1986;1;2.116;0.0861;0.00533;1.032;0.0595;0.0205;0;0;0;266.185;13.306;70.635;2.22;18;0
"50";1986;2;2.3;0.0615;0.01;1.47;0.037;0.0971;0;0;0;137.796;8.924;34.775;2.11;42.32;0
"51";1986;3;4.4;0.0755;0.0495;3.215;0.01;0.4846;0;0;0;197.52;13.669;48.43;3.27;91.96;0
"52";1986;4;2.15;0.1055;0.03417;0.778;0.0085;1.039;0;0;4;144.388;7.81;37.072;6.2;152.74;0
"53";1986;5;1.35;0.0625;0.024;0.282;0.016;3.41;0;0;3;111.915;6.36;26.923;12.4;221.35;0
"54";1986;6;1.095;0.1015;0.03733;0.082;0.011;3.616;2;1;1;99.909;5.695;21.786;18.48;233.77;0
"55";1986;7;1.595;0.17;0.02133;0.317;0.0925;1.195;0;0;4;94.718;5.28;18.035;17.1;226.45;0
"56";1986;8;1.425;0.3122;0.03662;0.165;0.1994;2.7813;0;1;2;94.404;5.638;20.376;18.1;176.68;0
"57";1986;9;0.63;0.13;0.011;0.055;0.085;1.52;0;0;4;81.257;5.058;19.214;14.07;111.79;0
"58";1986;10;0.71;0.087;0.00667;0.084;0.047;0.713;0;1;1;92.285;5.521;22.156;11.4;56.39;0
"59";1986;11;2.2;0.065;0.006;0.366;0.046;0.161;0;0;2;139.643;6.919;36.17;7;23.17;0
"60";1986;12;0.89;0.084;0.003;0.48;0.043;0.0343;0;0;2;155.98;7.819;39.427;6.2;12.77;0
"61";1987;1;1.759;0.072;0.0029;0.859;0.0383;0.0148;0;0;0;136.873;8.023;28.896;0.61;18;0
"62";1987;2;2.875;0.0703;0.01083;1.689;0.041;0.149;0;0;2;148.894;8.709;37.604;1.25;42.32;0
"63";1987;3;2.5;0.0575;0.02133;1.76;0.015;0.355;0;0;2;165.825;14.212;36.546;0.15;91.96;0
"64";1987;4;1.8;0.0565;0.02633;0.985;0.006;1.096;0;0;4;147.202;9.892;34.989;6.75;152.74;0
"65";1987;5;0.93;0.061;0.01667;0.221;0.005;2.006;0;0;3;105.932;6.752;20.271;10.93;221.35;0
"66";1987;6;0.94;0.095;0.026;0.016;0.003;3.121;1;0;3;140.452;7.624;28.299;13.03;233.77;0
